  ESTORIL.MOD: offset = 125991b, length = 158688, extra = 0008
  ESTORIL.OCF: offset = 12804fb, length = 000124, extra = 0008
   STRECKE.C8: offset = 1280577, length = 004435, extra = 0008
    IMOLA.ACT: offset = 12816ca, length = 037063, extra = 0009
    IMOLA.CAM: offset = 128a791, length = 000140, extra = 0009
    IMOLA.MOD: offset = 128a81d, length = 231007, extra = 0009
    IMOLA.OCF: offset = 12c2e7c, length = 000124, extra = 0009
   STRECKE.C8: offset = 12c2ef8, length = 004828, extra = 0009
 INTERLAG.ACT: offset = 12c41d4, length = 026092, extra = 000a
 INTERLAG.CAM: offset = 12ca7c0, length = 000190, extra = 000a
 INTERLAG.MOD: offset = 12ca87e, length = 138093, extra = 000a
 INTERLAG.OCF: offset = 12ec3eb, length = 000124, extra = 000a
   STRECKE.C8: offset = 12ec467, length = 004940, extra = 000a
 MAGNYCOU.ACT: offset = 12ed7b3, length = 021642, extra = 000b
 MAGNYCOU.CAM: offset = 12f2c3d, length = 000190, extra = 000b
 MAGNYCOU.MOD: offset = 12f2cfb, length = 152049, extra = 000b
 MAGNYCOU.OCF: offset = 1317eec, length = 000124, extra = 000b
   STRECKE.C8: offset = 1317f68, length = 005901, extra = 000b
 MELBOURN.ACT: offset = 1319675, length = 036445, extra = 000c
 MELBOURN.CAM: offset = 13224d2, length = 000170, extra = 000c
 MELBOURN.MOD: offset = 132257c, length = 268743, extra = 000c
 MELBOURN.OCF: offset = 1363f43, length = 000124, extra = 000c
   STRECKE.C8: offset = 1363fbf, length = 005574, extra = 000c
    MONZA.ACT: offset = 1365585, length = 043730, extra = 000d
    MONZA.CAM: offset = 1370057, length = 000160, extra = 000d
    MONZA.MOD: offset = 13700f7, length = 316269, extra = 000d
    MONZA.OCF: offset = 13bd464, length = 000124, extra = 000d
   STRECKE.C8: offset = 13bd4e0, length = 005634, extra = 000d
 SILVERST.ACT: offset = 13beae2, length = 033475, extra = 000e
 SILVERST.CAM: offset = 13c6da5, length = 000170, extra = 000e
 SILVERST.MOD: offset = 13c6e4f, length = 266657, extra = 000e
 SILVERST.OCF: offset = 1407ff0, length = 000124, extra = 000e
   STRECKE.C8: offset = 140806c, length = 006209, extra = 000e
   SUZUKA.ACT: offset = 14098ad, length = 039682, extra = 000f
   SUZUKA.CAM: offset = 14133af, length = 000160, extra = 000f
   SUZUKA.MOD: offset = 141344f, length = 264903, extra = 000f
   STRECKE.C8: offset = 1453f16, length = 005734, extra = 000f
   SUZUKA.OCF: offset = 145557c, length = 000124, extra = 000f
  SOFTIZF.BDD: offset = 14555f8, length = 174592, extra = 0010
 SOFTPRMF.BDD: offset = 147fff8, length = 105984, extra = 0010
 SOFTRNDF.BDD: offset = 1499df8, length = 074752, extra = 0010
     VESA.BDD: offset = 14ac1f8, length = 024064, extra = 0010
 MONOCO01.MOD: offset = 14b1ff8, length = 097473, extra = 0011
 MONOCO01.ACT: offset = 14c9cb9, length = 000439, extra = 0011
 MONOCO02.MOD: offset = 14c9e70, length = 108558, extra = 0011
 MONOCO02.ACT: offset = 14e467e, length = 000439, extra = 0011
  BODEN01.MOD: offset = 14e4835, length = 009915, extra = 0011
  BODEN01.ACT: offset = 14e6ef0, length = 000563, extra = 0011
  BODEN02.MOD: offset = 14e7123, length = 024230, extra = 0011
  BODEN02.ACT: offset = 14ecfc9, length = 000445, extra = 0011
